Entity,Year,Life expectancy
15,1802,34.049999
15,1803,34.049999
15,1804,34.049999
15,1805,34.049999
15,1806,34.049999
15,1807,34.049999
15,1808,34.049999
15,1809,34.049999
15,1810,34.049999
15,1811,34.049999
15,1812,34.049999
15,1813,34.049999
15,1814,34.049999
15,1815,34.049999
15,1816,34.049999
15,1817,34.049999
15,1818,34.049999
15,1819,34.049999
15,1820,34.049999
15,1821,34.049999
15,1822,34.049999
15,1823,34.049999
15,1824,34.049999
15,1825,34.049999
15,1826,34.049999
15,1827,34.049999
15,1828,34.049999
15,1829,34.049999
15,1830,34.049999
15,1831,34.049999
15,1832,34.049999
15,1833,34.049999
15,1834,34.049999
15,1835,34.049999
15,1836,34.049999
15,1837,34.049999
15,1838,34.049999
15,1839,34.049999
15,1840,34.049999
15,1841,34.049999
15,1842,34.049999
15,1843,34.049999
15,1844,34.049999
15,1845,34.049999
15,1846,34.049999
15,1847,34.049999
15,1848,34.049999
15,1849,34.049999
15,1850,34.049999
15,1851,34.049999
15,1852,34.049999
15,1853,34.049999
15,1854,34.049999
15,1855,34.049999
15,1856,34.049999
15,1857,34.049999
15,1858,34.049999
15,1859,34.049999
15,1860,34.049999
15,1861,34.049999
15,1862,34.049999
15,1863,34.049999
15,1864,34.049999
15,1865,34.049999
15,1866,34.049999
15,1867,34.049999
15,1868,34.049999
15,1869,34.049999
15,1870,34.049999
15,1871,34.579216
15,1872,35.108433
15,1873,35.637646
15,1874,36.166862
15,1875,36.696079
15,1876,37.225296
15,1877,37.754509
15,1878,38.283726
15,1879,38.812943
15,1880,39.342155
15,1881,39.871372
15,1882,40.400589
15,1883,40.929806
15,1884,41.459019
15,1885,41.988235
15,1886,42.517452
15,1887,43.046665
15,1888,43.575882
15,1889,44.105099
15,1890,44.634315
15,1891,45.163528
15,1892,45.692745
15,1893,46.221962
15,1894,46.751175
15,1895,47.280392
15,1896,47.809608
15,1897,48.338825
15,1898,48.868038
15,1899,49.397255
15,1900,49.926472
15,1901,50.455685
15,1902,50.984901
15,1903,51.514118
15,1904,52.043335
15,1905,52.572548
15,1906,53.101765
15,1907,53.630981
15,1908,54.160194
15,1909,54.689411
15,1910,55.218628
15,1911,55.747845
15,1912,56.277058
15,1913,56.806274
15,1914,57.335491
15,1915,57.864704
15,1916,58.393921
15,1917,58.923138
15,1918,54.802391
15,1919,59.981567
15,1920,60.510784
15,1921,61.040001
